shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1010316,40.7947598908,-73.9423483723,150006
M1010316,40.7954046631,-73.9418746925,150007
M1010316,40.7960274848,-73.9414190811,150008
M1010316,40.7966283561,-73.940981539,150009
M1010316,40.7972594045,-73.94051868,150010
M1010316,40.7978270754,-73.9401086009,150011
M1010316,40.7978270754,-73.9401086009,160001
M1010316,40.7979453286,-73.9400232571,160002
M1010316,40.7986257572,-73.9395206054,160003
M1010316,40.7992513121,-73.9390613356,160004
M1010316,40.7998823545,-73.9386020521,160005
M1010316,40.8005079075,-73.9381463768,160006
M1010316,40.8011389462,-73.9376870759,160007
M1010316,40.8017672382,-73.9372277689,160008
M1010316,40.8023955283,-73.9367684533,160009
M1010316,40.8030238166,-73.9363091289,160010
M1010316,40.803698745,-73.9358172424,160011
M1010316,40.8038735393,-73.9362317399,160012
M1010316,40.8038735393,-73.9362317399,170001
M1010316,40.8043748277,-73.9374203633,170002
M1010316,40.8045334017,-73.937796596,170003
M1010316,40.8045334017,-73.937796596,180001
M1010316,40.8049959247,-73.9388935302,180002
M1010316,40.8049986733,-73.938900752,180003
M1010316,40.8051140966,-73.9391751687,180004
M1010316,40.8051168451,-73.9391823905,180005
M1010316,40.8052583743,-73.9395171074,180006
M1010316,40.8052583743,-73.9395171074,190001
M1010316,40.8057351693,-73.9406447562,190002
M1010316,40.8059063749,-73.9410531416,190003
M1010316,40.8059063749,-73.9410531416,200001
M1010316,40.8062891769,-73.9419648842,200002
M1010316,40.8062891769,-73.9419648842,210001
M1010316,40.8064139365,-73.9422624217,210002
M1010316,40.8077439179,-73.9454184037,210003
M1010316,40.8077988737,-73.945548401,210004
M1010316,40.8079197859,-73.945855347,210005
M1010316,40.8079733692,-73.9459860685,210006
M1010316,40.8079733692,-73.9459860685,220001
M1010316,40.8080736659,-73.9462309011,220002
M1010316,40.8081203648,-73.9463139464,220003
M1010316,40.8082742366,-73.9466750535,220004
M1010316,40.8083209336,-73.946754487,220005
M1010316,40.8084720742,-73.9471481093,220006
M1010316,40.8089364296,-73.9482458944,220007
M1010316,40.8090051204,-73.9484083968,220008
M1010316,40.8091779461,-73.9488189883,220009
M1010316,40.8091779461,-73.9488189883,230001
M1010316,40.8096508057,-73.9499431608,230002
M1010316,40.8101728255,-73.9511637645,230003
M1010316,40.8103657011,-73.9516296259,230004
M1010316,40.8103657011,-73.9516296259,240001
M1010316,40.8107635351,-73.9525902477,240002
M1010316,40.8109563998,-73.9530434737,240003
M1010316,40.8109563998,-73.9530434737,250001
M1010316,40.8113679478,-73.9540095218,250002
M1010316,40.8117250879,-73.9548365373,250003
M1010316,40.8132697829,-73.956177925,250004
M1010316,40.8132697829,-73.956177925,260001
M1010316,40.8133752148,-73.9562696153,260002
M1010316,40.8141435199,-73.9557055401,260003
M1010316,40.8143737381,-73.9555406504,260004
M1010316,40.8143737381,-73.9555406504,270001
M1010316,40.8144865146,-73.9554596517,270002
M1010316,40.8150158195,-73.9550712958,270003
M1010316,40.8150158195,-73.9550712958,280001
M1010316,40.8151121314,-73.9550004222,280002
M1010316,40.8157350044,-73.9545484114,280003
M1010316,40.8163606174,-73.9540891648,280004
M1010316,40.8167206191,-73.9538266293,280005
M1010316,40.8167206191,-73.9538266293,290001
M1010316,40.8176063527,-73.9531814879,290002
M1010316,40.8178799193,-73.9529815058,290003
M1010316,40.8178799193,-73.9529815058,300001
M1010316,40.8182347048,-73.9527222135,300002
M1010316,40.8189234192,-73.9522159196,300003
M1010316,40.8193503677,-73.9519059864,300004
M1010316,40.8193503677,-73.9519059864,310001
M1010316,40.8195709757,-73.9517457744,310002
M1010316,40.8208276677,-73.9508307757,310003
M1010316,40.8210743403,-73.9506503044,310004
M1010316,40.8210743403,-73.9506503044,320001
M1010316,40.8214450344,-73.9503786912,320002
M1010316,40.8220733749,-73.9499193639,320003
M1010316,40.822431993,-73.9496535325,320004
M1010316,40.822431993,-73.9496535325,330001
M1010316,40.8226879915,-73.9494636514,330002
M1010316,40.8233135836,-73.949004309,330003
M1010316,40.823939177,-73.9485521842,330004
M1010316,40.8242632214,-73.9483152704,330005
M1010316,40.8242632214,-73.9483152704,340001
M1010316,40.8245126336,-73.9481326104,340002
M1010316,40.8245620221,-73.9480964399,340003
M1010316,40.8252315091,-73.947604518,340004
M1010316,40.8256348481,-73.9473115268,340005
M1010316,40.8256348481,-73.9473115268,350001
M1010316,40.8259037403,-73.9471161974,350002
M1010316,40.8265293243,-73.9466604239,350003
M1010316,40.8271521601,-73.9462010309,350004
M1010316,40.8276935074,-73.9458081816,350005
M1010316,40.8276935074,-73.9458081816,360001
M1010316,40.8277749974,-73.9457488559,360002
M1010316,40.8284005758,-73.9452930568,360003
M1010316,40.8290206629,-73.9448372537,360004
M1010316,40.8296489823,-73.9443814353,360005
M1010316,40.8299291176,-73.9441755936,360006
M1010316,40.8299291176,-73.9441755936,370001
M1010316,40.8302690657,-73.9439256151,370002
M1010316,40.830889149,-73.9434734,370003
M1010316,40.8315668497,-73.9429813778,370004
M1010316,40.831708152,-73.9428800763,370005
M1010316,40.831708152,-73.9428800763,380001
M1010316,40.8322390642,-73.9425001911,380002
M1010316,40.8328646239,-73.94203349,380003
M1010316,40.8334846976,-73.9415776259,380004
M1010316,40.8336677017,-73.9414437587,380005
M1010316,40.8336677017,-73.9414437587,390001
M1010316,40.8341130018,-73.9411181324,390002
M1010316,40.834730329,-73.9406658674,390003
M1010316,40.8352719335,-73.9402772646,390004
M1010316,40.8352719335,-73.9402772646,400001
M1010316,40.8353558904,-73.9402172005,400002
M1010316,40.8357921275,-73.9398879521,400003
M1010316,40.8365658428,-73.9393307203,400004
M1010316,40.8372298016,-73.9388386265,400005
M1010316,40.8374978551,-73.9386425068,400006
M1010316,40.8374978551,-73.9386425068,410001
M1010316,40.8379074798,-73.9383428963,410002
M1010316,40.8384891302,-73.9379195247,410003
M1010316,40.8386866748,-73.9377820098,410004
M1010316,40.8392930116,-73.9373333071,410005
M1010316,40.8394658591,-73.9372066541,410006
M1010316,40.8397015347,-73.9370333201,410007
M1010316,40.8397015347,-73.9370333201,420001
M1010316,40.8398746561,-73.9369063039,420002
M1010316,40.8404809934,-73.9364648133,420003
M1010316,40.841068126,-73.9360414037,420004
M1010316,40.8417128674,-73.935567333,420005
M1010316,40.842016859,-73.9353501899,420006
M1010316,40.842016859,-73.9353501899,430001
M1010316,40.8423109734,-73.9351402827,430002
M1010316,40.8429392489,-73.9346770532,430003
M1010316,40.8431526975,-73.9345196256,430004
M1010316,40.8431526975,-73.9345196256,440001
M1010316,40.8435675226,-73.934213815,440002
M1010316,40.8442451781,-73.9337143761,440003
M1010316,40.8449091184,-73.9332330124,440004
M1010316,40.8451782588,-73.9330350391,440005
M1010316,40.8451782588,-73.9330350391,450001
M1010316,40.8455291561,-73.9327769837,450002
M1010316,40.8461519388,-73.9323245582,450003
M1010316,40.8462726546,-73.9322376903,450004
M1010316,40.8463412424,-73.9321870191,450005
M1010316,40.8464948796,-73.9320748165,450006
M1010316,40.8466128506,-73.9319879506,450007
M1010316,40.8467006426,-73.9319228016,450008
M1010316,40.8468021538,-73.9318504096,450009
M1010316,40.8470402911,-73.9316766736,450010
M1010316,40.8470402911,-73.9316766736,460001
M1010316,40.8474276752,-73.9313943495,460002
M1010316,40.8477404331,-73.9311627017,460003
M1010316,40.8481190351,-73.9308839952,460004
M1010316,40.8483876238,-73.9306881722,460005
M1010316,40.8483876238,-73.9306881722,470001
M1010316,40.848481177,-73.9306197607,470002
M1010316,40.848695172,-73.9304677282,470003
M1010316,40.8493124559,-73.9300152652,470004
M1010316,40.8496416725,-73.9297727434,470005
M1010316,40.8498290761,-73.9296753136,470006
M1010316,40.8498290761,-73.9296753136,480001
M1010316,40.8499133117,-73.9296314882,480002
M1010316,40.8505196267,-73.9292007086,480003
M1010316,40.8509174277,-73.9289075002,480004
M1010316,40.8511835116,-73.9286614201,480005
M1010316,40.8518611355,-73.9281510234,480006
M1010316,40.8522268373,-73.927884225,480007
M1010316,40.8522268373,-73.927884225,490001
M1010316,40.8524866418,-73.9276948938,490002
M1010316,40.8531148909,-73.9272387526,490003
M1010316,40.8537157026,-73.9268007069,490004
M1010316,40.8539631598,-73.9266204178,490005
M1010316,40.8539631598,-73.9266204178,500001
M1010316,40.8537157026,-73.9268007069,500002
