shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010136,40.7306436867,-73.9905023898,10001
M010136,40.7308188009,-73.9904926229,10002
M010136,40.7312881447,-73.9903915281,10003
M010136,40.7319962748,-73.9902110171,10004
M010136,40.7326217901,-73.9900593804,10005
M010136,40.7326217901,-73.9900593804,20001
M010136,40.7327565545,-73.9900268863,20002
M010136,40.7335250702,-73.9898680079,20003
M010136,40.7339387017,-73.9898434087,20004
M010136,40.7339387017,-73.9898434087,30001
M010136,40.7339532488,-73.9898426848,30002
M010136,40.7343045794,-73.989875106,30003
M010136,40.7344720144,-73.9899364218,30004
M010136,40.7349935251,-73.9900337682,30005
M010136,40.7352295721,-73.9900192995,30006
M010136,40.7353475875,-73.9899182478,30007
M010136,40.735601734,-73.9897240789,30008
M010136,40.735601734,-73.9897240789,40001
M010136,40.7356165546,-73.9897125299,40002
M010136,40.7359184589,-73.9895140219,40003
M010136,40.7359870723,-73.9894562768,40004
M010136,40.7362148697,-73.9892758205,40005
M010136,40.7365442177,-73.9890448284,40006
M010136,40.73660734,-73.9889726495,40007
M010136,40.7368590156,-73.9887892991,40008
M010136,40.7368590156,-73.9887892991,50001
M010136,40.7371480169,-73.9885792384,50002
M010136,40.7377326057,-73.9881605537,50003
M010136,40.7383171915,-73.9877274275,50004
M010136,40.7389017763,-73.9873015109,50005
M010136,40.7390387281,-73.9872018886,50006
M010136,40.7390387281,-73.9872018886,60001
M010136,40.7395220384,-73.9868503197,60002
M010136,40.7401862107,-73.9863666335,60003
M010136,40.7405413498,-73.9861070997,60004
M010136,40.7405413498,-73.9861070997,70001
M010136,40.7408531252,-73.9858793284,70002
M010136,40.7414678921,-73.985428112,70003
M010136,40.7415118211,-73.9855320327,70004
M010136,40.7415118211,-73.9855320327,80001
M010136,40.7420966173,-73.9869147686,80002
M010136,40.7421405491,-73.9870555002,80003
M010136,40.7427717881,-73.9865970651,80004
M010136,40.7433893023,-73.9861458416,80005
M010136,40.7440068147,-73.9856946098,80006
M010136,40.74423351,-73.9855296372,80007
M010136,40.74423351,-73.9855296372,90001
M010136,40.74462707,-73.9852433691,90002
M010136,40.745241834,-73.9847921212,90003
M010136,40.7455445501,-73.9845726303,90004
M010136,40.7455445501,-73.9845726303,100001
M010136,40.7458593414,-73.9843444732,100002
M010136,40.746476847,-73.983896817,100003
